brand,name,reviews_rating_number,review_amount,old_price,old_price_cents,new_price,new_price_cents
,Tênis Masculino Advanced Racing Corrida Sport Sola Leve,,,78,90,7,67
,Tênis Masculino Advanced Racing Academia Corrida Macio Leve,,,78,90,26,30
,Tênis Masculino Advanced Racing Race Academia Corrida Volei,,,78,90,26,30
OLYMPIKUS,Tênis Olympikus Volcan 2 Para Treino E Academia,,,199,99,19,44
UNDER ARMOUR,Tênis Under Armour Charged Wing Se Corrida Unissex ,,,349,90,309,88
QIX,Tênis Qix Db 3 - 204006 ,,,185,91,30,98
OLYMPIKUS,Tênis Olympikus Beats Masculino Preto,,,299,22,33,22
OLYMPIKUS,Tênis Olympikus Diffuse 5 Masculino Azul Corrida Caminhada,,,299,22,33,22
,Tênis Masculino Confortável  Academia Corrida Caminhada,,,89,90,29,97
,Tênis Esportivo Academia Corrida Caminhada Tamanho Grande,,,119,90,109,10
FILA,Tenis Fila Float Maxxi 2 Original + Nota Fiscal,,,699,90,594,91
,Tênis Masculino Confortável  Academia  Caminhada Casual,,,78,79,26,26
UNDER ARMOUR,Tênis Under Armour Ch Slight 3 Masculino Antiderrapante,,,399,99,223,99
FILA,Tênis Running Masculino Fila Fulltime Preto,,,345,75,255,86
ASICS,Tênis Asics Gel Hypersonic 5 Masculino Preto,,,599,90,59,90
OLYMPIKUS,Tênis Olympikus Subverse Lunar Corrida Resistente Masculino,,,349,99,325,49
OLYMPIKUS,Tenis Olympikus Jogging 100 Unissex Casual Confortavel,,,219,90,204,50
OLYMPIKUS,Tênis Olympikus Diffuse 5 Masculino Caminhada Original,,,299,99,33,33
NEW BALANCE,Tênis New Balance 373v2 Branco Preto Masculino ,,,459,90,436,90
MIZUNO,Tenis De Corrida Masculino Mizuno Wave Stratos 2,,,748,97,696,54
,Tênis Masculino Esportivo Confortave Macio Caminhada Corrida,,,69,90,54,52
ASICS,Tênis Asics Masculino Gel-shogun St Corrida Conforto Nf Orig,,,369,90,36,99
NEW BALANCE,Tênis Original New Balance Fresh Foam X Kaiha Road Masculino,,,699,99,67,86
UNDER ARMOUR,Tênis Under Armour Ua Ch.hit Se Corrida Resistente Macio,,,499,99,50,99
,Tênis Masculino Para Caminhada Casual Com Sola De Borracha,,,68,90,6,70
,Tênis Masculino Original De Cadarço  Esportes E Caminhadas,,,68,90,6,70
MIZUNO,Tênis De Corrida Mizuno Oracle Arenit Bege Claro 101126126,,,449,99,332,99
OLYMPIKUS,Tênis Adulto Corrida Olympikus Conex Antiderrapante Original,,,219,99,31,43
,Kit Tênis Ascension Sneaker Fitness + Relogio Digital,,,199,90,139,93
OLYMPIKUS,Tênis Olympikus Corre Trilha 2 Eleva Pro 2.0 Confortável,,,599,90,59,90
OLYMPIKUS,Tênis Esportivo Masculino Olympikus Corrida Treino Conforto,,,299,99,33,33
,Tênis Masculino Original De Nylon Confortável Com Cadarço,,,61,90,6,02
ASICS,Tênis Original Asics Florest Conforto Antiderrapante,,,499,99,338,87
FRONTINNI,Tênis Masculino Caminhada Leve Confortável Casual Esportivo,,,149,90,85,44
,Tênis Masculino Esportivo Academia Corrida Anti Impacto,,,78,90,66,27
PUMA,Tênis Puma Homem Mulher Couro Garantia Academia Macio Barato,,,333,33,129,99
FILA,Tênis Fila Racer Comet Preto Cinza Azul Masculino ,,,329,90,313,40
MIZUNO,Tenis Mizuno Atlantis Masculino Corrida,,,322,77,31,29
OLYMPIKUS,Tenis Olympikus Challenger 5 Masculino Corrida,,,312,90,30,34
FILA,Tênis Fila Maxximus Corrida Academia Original Masculino,,,459,90,45,99
MIZUNO,Tenis Mizuno Goya 2 Masculino Corrida,,,338,51,33,85
MIZUNO,Tenis Mizuno Atlantis Masculino 101064064-bco1 L,,,349,44,33,88
PUMA,Tênis Puma Homem Mulher Original Treino Macio 34 A 43 Barato,,,333,33,129,99
WAVE,Kit 3 Tênis Esportivo Wave Creation 20 Academia Caminhada Or,,,219,91,31,42
NEW BALANCE,Tênis Homem Mulher New Balance Academia Treino Macio 34 A 43,,,333,33,139,99
ASICS,"Tênis Asics Noosa Tri 16 - Masculino - Preto, Cinza E Branco",,,999,90,99,90
FILA,Tênis Fila Racer Speedzone Masculino Azul,,,599,90,539,91
,Tênis Unissex Confortável Leve Caminhada Academia Barato,,,105,98,78,42
,Kit 3 Sapatenis Masculino Barato Casual Macio + Acessórios!,,,189,80,94,90
,Kit 3 Sapatenis Tênis Masculino Casual Estiloso + Acessórios,,,94,90,31,63
UNDER ARMOUR,Tênis Under Armour Ch Slight 3 Cinza E Preto - Masculino,,,399,99,40,99
,Tênis Masculino Advanced Speed Corrida Esportivo Sola Leve,,,109,90,65,94
STREET WALKER,Kit 2 Tenis Masculino Academia Treino Caminhada+relógio Slim,,,199,90,139,93
ABUZZE,Tênis Masculino De Corrida Abuzze Original Confortavel Macio,,,99,99,33,33
NEW BALANCE,Tênis New Balance Arishi V4 Masculino + 3 Pares De Meias Pta,,,494,60,47,95
,Tênis Branco Academia Caminhada Esportivo Confortável Leve,,,52,99,17,66
UNDER ARMOUR,Tênis Under Armour Ch Slight 3 Masculino Calce Facil Rapido,,,399,99,38,78
RAMARIM,Tênis Fila Maxximus Masculino,,,569,90,455,92
,Tenis Conforto Masculino Corrida Caminhada Academia Treino,,,199,90,33,32
OLYMPIKUS,Tênis Original Olympikus Subverse Lunar Macio Leve Masculino,,,349,99,33,93
OLYMPIKUS,Tênis Olympikus Subverse Lunar Corrida Envio Já - Masculino,,,349,99,33,93
OLYMPIKUS,Tênis Olympikus Subverse Atlantico Resistente - Masculino,,,349,99,33,93
ASICS,"Tênis Asics Gel Venture 9 - Masculino - Preto, Azul, Laranja",,,499,90,49,90
SKECHERS,Tenis Skechers Arch Fit Banlin Masculino,,,499,90,49,90
OLYMPIKUS,Tenis Olympikus Triunfo 3 Masculino 43290314-czaaz,,,229,44,22,30
OLYMPIKUS,Tenis Olympikus Triunfo 3 Masculino 43290314-ptoch,,,229,44,22,30
FILA,Tênis Fila Maxximus Preto E Dourado - Masculino,,,499,99,48,47
UNDER ARMOUR,Tênis Esportivo Masculino Under Armour Charged Hit Se,,,549,98,55,98
OLYMPIKUS,Tênis Olympikus Veloz 3 Duravel Reforçado Moderno,,,299,99,29,08
OLYMPIKUS,Tênis Esportivo Olympikus Veloz 3 Masculino Alto Desempenho,,,299,99,29,08
ON RUNNING,Tênis On Running Cloudmonster 2 Masculino - Branco / Flame,,,1.149,99,114,99
ACTVITTA,Tênis Masculino Academia Corrida Caminhada Macio,,,219,99,193,59
MIZUNO,Tênis Knit Masculino Mizuno Mirai 6   101081081,,,529,99,53,99
UNDER ARMOUR,Tênis Under Armour Ch Slight 3 Masculino Branco,,,399,99,223,99
HOKA,Tenis Hoka Skyflow Masculino 1155111bwht,,,1.399,94,139,94
UNDER ARMOUR,Tênis Under Armour Ch Slight 3 Masculino Macio Leve,,,399,99,223,99
UNDER ARMOUR,Tenis Under Armour Charged Quicker 3027124-025 Ideal Corrida,,,379,99,38,99
FILA,Tênis Fila Ride Masculino Estilo Esportivo Para Performance,,,277,99,26,95
OLYMPIKUS,Tênis Olympikus Veloz 3 Laranja - Masculino,,,299,99,33,33
FILA,Tênis Running Masculino Fila Maxximus Branco E Laranja,,,617,53,456,97
MIZUNO,Tênis Running Masculino Mizuno Original Oracle,,,555,75,472,38
,Kit 2 Sapatenis Da Moda Tênis Casual Mais Barato Envio Já!,,,94,80,46,45
,Kit 2 Sapatenis Masculino Casual Barato + Acessórios Da Moda,,,91,80,45,90
,Kit 2 Tênis Masculino Social Casual Sola Reta Macia Barato,,,45,90,15,30
,Kit 2 Tênis Masculino Casual Mais Barato + Acessórios Oferta,,,91,80,45,90
FILA,Tênis Running Masculino Fila Float Maxxi 2 Pro Preto Grafite,,,1.111,62,822,26
FILA,Tenis Fila Racer Energized Masculino 1rm02779-3,,,699,44,67,81
OLYMPIKUS,Tênis Olympikus Subverse Lunar Corrida Envio Já - Masculino,,,349,99,297,49
OLYMPIKUS,Tênis Olympikus Inverse Masculino Cinza Claro,,,349,99,297,49
OLYMPIKUS,Tênis Olympikus Inverse Masculino Macio Leve Confortavel,,,349,99,293,99
WAVE,Kit 3 Tênis Esportivo Wave Creation 20 Academia Caminhada Or,,,219,91,31,42
NEW BALANCE,Tênis Homem Mulher New Balance Academia Treino Macio 34 A 43,,,333,33,139,99
STREET WALKER,Kit 2 Tenis Masculino Academia Treino Caminhada+relógio Slim,,,199,90,139,93
OLYMPIKUS,Tênis Olympikus Inverse Masculino Estiloso Moderno Casual,,,349,99,325,49
FILA,Tenis Masculino Fila Racer Comet Corrida Caminhada Original,,,349,90,34,99
,Tênis Masculino Casual Minimalista Macio E Confortável,,,119,90,39,97
UNDER ARMOUR,Tênis Under Armour Corrida Macio Leve Confortável Resistente,,,499,99,319,99
REEBOK,Tenis Reebok Nano X4 Masculino 100074302 L,,,999,44,99,94
OLYMPIKUS,Tênis Masculino Olympikus Veloz 3 Reforçado Estiloso Moderno,,,299,99,260,99
LORENZZO LOPEZ,Tenis Masculino Esporte Caminhada Super Macio Leve Promoção,,,64,90,21,63
LORENZZO LOPEZ,Tenis Masculino Casual Esporte Academia Leve Promoção Barato,,,46,92,15,64
LORENZZO LOPEZ,Tenis Masculino Caminha Academia Super Leve Promoção Oferta,,,46,90,4,55
OLYMPIKUS,Tênis Esportivo Olympikus Treino Academia Corrida,,,279,99,246,39
OLYMPIKUS,Tênis Olympikus Veloz 3 Masculino Laranja,,,299,99,33,33
OLYMPIKUS,Tênis Adulto Olympikus Veloz 3 Esportivo Original Running,,,299,99,33,33
OLYMPIKUS,Tênis Olympikus Eleva Pro Max Inverse Masculino Lançamento,,,349,99,325,49
,Tênis Masculino Advanced Speed Corrida Confortável Ultra Lev,,,149,90,134,91
MIZUNO,Tênis Mizuno Corrida Esporte Trabalho Treino Space 4 1010880,,,329,99,33,99
COLCCI,Tênis Masculino Colcci Cosmos Moda Casual Urbano Confortável,,,459,99,197,79
FRONTINNI,Tênis Masculino Caminhada Leve Confortável Casual Esportivo,,,149,90,85,44
STREET WALKER,Tênis Masculino Academia Corrida Esportivo Leve Confortável,,,99,99,94,99
OLYMPIKUS,Tênis Olympikus Academia Confortável Corrida Macio Caminhada,,,249,90,31,24
,Tênis Masculino Esportivo Leve Caminhada Corrida Treino,,,112,58,41,65
,Kit 3 Pares Tênis Lona Macia Sapatênis Esporte Fino Promoção,,,99,90,33,30
ASICS,Tênis Asics Gel Nimbus 26 Azul Marinho - Masculino,,,1.299,99,935,74
UNDER ARMOUR,Tênis Under Armour Ua Ch.hit Se Corrida Caminhada Masculino,,,499,99,50,99
FILA,Tênis Running Masculino Running Fila Progress Lite Preto,,,370,46,274,14
,Tênis Ascension Sneaker Confortavel Ortopédico Casual Fitnes,,,179,90,118,73
,Tenis Masculino Treino Skate Sport Racer Corrida Sapato,,,78,99,26,33
